2018:07:24 18:03:46.818 INFO  --- [main] c.partner.batch.BatchApplicationKt : Starting BatchApplicationKt on wmp-2013091101.local with PID 66111 (/Users/juhuihan/practice/partnerBatch/out/production/classes started by juhuihan in /Users/juhuihan/practice/partnerBatch) 
2018:07:24 18:05:49.036 INFO  --- [main] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@192c3f1e: startup date [Tue Jul 24 18:05:49 KST 2018]; root of context hierarchy 
2018:07:24 18:05:49.563 INFO  --- [main] o.s.b.f.s.DefaultListableBeanFactory : Overriding bean definition for bean 'transactionManager' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.batch.core.configuration.annotation.SimpleBatchConfiguration; factoryMethodName=transactionManager; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/batch/core/configuration/annotation/SimpleBatchConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=batchScheduler; factoryMethodName=transactionManager; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/partner/batch/batchConfig/BatchScheduler.class]] 
2018:07:24 18:05:49.564 INFO  --- [main] o.s.b.f.s.DefaultListableBeanFactory : Overriding bean definition for bean 'jobRepository' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.batch.core.configuration.annotation.SimpleBatchConfiguration; factoryMethodName=jobRepository; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/batch/core/configuration/annotation/SimpleBatchConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=batchScheduler; factoryMethodName=jobRepository; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/partner/batch/batchConfig/BatchScheduler.class]] 
2018:07:24 18:05:49.565 INFO  --- [main] o.s.b.f.s.DefaultListableBeanFactory : Overriding bean definition for bean 'jobLauncher' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.batch.core.configuration.annotation.SimpleBatchConfiguration; factoryMethodName=jobLauncher; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/batch/core/configuration/annotation/SimpleBatchConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=batchScheduler; factoryMethodName=jobLauncher; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/partner/batch/batchConfig/BatchScheduler.class]] 
2018:07:24 18:05:50.258 INFO  --- [main] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8080 (http) 
2018:07:24 18:05:50.277 INFO  --- [main] o.a.catalina.core.StandardService : Starting service [Tomcat] 
2018:07:24 18:05:50.277 INFO  --- [main] o.a.catalina.core.StandardEngine : Starting Servlet Engine: Apache Tomcat/8.5.31 
2018:07:24 18:05:50.280 INFO  --- [localhost-startStop-1] o.a.c.core.AprLifecycleListener : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/juhuihan/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.] 
2018:07:24 18:05:50.341 INFO  --- [localhost-startStop-1] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext 
2018:07:24 18:05:50.341 INFO  --- [localhost-startStop-1] o.s.web.context.ContextLoader : Root WebApplicationContext: initialization completed in 1306 ms 
2018:07:24 18:05:50.444 INFO  --- [localhost-startStop-1] o.s.b.w.s.ServletRegistrationBean : Servlet dispatcherServlet mapped to [/] 
2018:07:24 18:05:50.447 INFO  --- [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean : Mapping filter: 'characterEncodingFilter' to: [/*] 
2018:07:24 18:05:50.448 INFO  --- [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean : Mapping filter: 'hiddenHttpMethodFilter' to: [/*] 
2018:07:24 18:05:50.448 INFO  --- [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean : Mapping filter: 'httpPutFormContentFilter' to: [/*] 
2018:07:24 18:05:50.448 INFO  --- [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean : Mapping filter: 'requestContextFilter' to: [/*] 
2018:07:24 18:05:50.974 INFO  --- [main] o.s.b.c.l.support.SimpleJobLauncher : No TaskExecutor has been set, defaulting to synchronous executor. 
2018:07:24 18:05:51.088 INFO  --- [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2018:07:24 18:05:51.277 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerAdapter : Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@192c3f1e: startup date [Tue Jul 24 18:05:49 KST 2018]; root of context hierarchy 
2018:07:24 18:05:51.319 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/order/search/{day}/{hour}],methods=[GET]}" onto public com.partner.batch.models.ApiFormatter<com.partner.batch.models.OrdersData> com.partner.batch.controller.PartnerApiController.ordersList(java.lang.String,java.lang.String) 
2018:07:24 18:05:51.323 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest) 
2018:07:24 18:05:51.324 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) 
2018:07:24 18:05:51.348 INFO  --- [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2018:07:24 18:05:51.348 INFO  --- [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2018:07:24 18:05:51.665 INFO  --- [main] o.s.b.c.r.s.JobRepositoryFactoryBean : No database type set, using meta data indicating: MYSQL 
2018:07:24 18:05:51.671 INFO  --- [main] o.s.b.c.l.support.SimpleJobLauncher : No TaskExecutor has been set, defaulting to synchronous executor. 
2018:07:24 18:05:51.683 INFO  --- [main] o.s.j.datasource.init.ScriptUtils : Executing SQL script from class path resource [org/springframework/batch/core/schema-mysql.sql] 
2018:07:24 18:05:51.704 INFO  --- [main] o.s.j.datasource.init.ScriptUtils : Executed SQL script from class path resource [org/springframework/batch/core/schema-mysql.sql] in 20 ms. 
2018:07:24 18:05:51.811 INFO  --- [main] o.s.j.e.a.AnnotationMBeanExporter : Registering beans for JMX exposure on startup 
2018:07:24 18:05:51.823 INFO  --- [main] o.s.s.a.ScheduledAnnotationBeanPostProcessor : No TaskScheduler/ScheduledExecutorService bean found for scheduled processing 
2018:07:24 18:05:51.860 INFO  --- [main] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port(s): 8080 (http) with context path '' 
2018:07:24 18:05:51.863 INFO  --- [main] c.partner.batch.BatchApplicationKt : Started BatchApplicationKt in 3.465 seconds (JVM running for 4.235) 
2018:07:24 18:05:51.866 INFO  --- [main] o.s.b.a.b.JobLauncherCommandLineRunner : Running default command line with: [] 
2018:07:24 18:05:51.898 INFO  --- [main] o.s.b.c.l.support.SimpleJobLauncher : Job: [FlowJob: [name=orders Batch Job]] launched with the following parameters: [{run.id=1}] 
2018:07:24 18:05:51.911 INFO  --- [main] o.s.b.core.job.SimpleStepHandler : Executing step: [step1] 
2018:07:24 18:05:51.997 INFO  --- [main] c.p.batch.batchConfig.StepListener : StepName Finished => Name : step1, ReadCount : 12, WriteCount : 12, SkipCount : 0 
2018:07:24 18:05:52.003 INFO  --- [main] o.s.b.c.l.support.SimpleJobLauncher : Job: [FlowJob: [name=orders Batch Job]] completed with the following parameters: [{run.id=1}] and the following status: [COMPLETED] 
2018:07:24 18:07:59.361 INFO  --- [Thread-11] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext : Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@192c3f1e: startup date [Tue Jul 24 18:05:49 KST 2018]; root of context hierarchy 
2018:07:24 18:07:59.365 INFO  --- [Thread-11] o.s.j.e.a.AnnotationMBeanExporter : Unregistering JMX-exposed beans on shutdown 
